# PressureOS compact Simplified-Chinese pinyin lexicon
# Generated from Rime Luna Pinyin; see THIRD_PARTY_NOTICES.md
a	啊	吖
aa	啊啊
bange	半个
bangexiaoshi	半个小时
bangeyue	半个月
bangfu	帮扶
bangjia	绑架
bangmang	帮忙
bangni	帮你
bangnin	帮您
bangong	办公
bangonglou	办公楼
bangongshi	办公室
bangongting	办公厅
bangongyongpin	办公用品
bangongzhuo	办公桌
bangpai	帮派
bangqiu	棒球
bangren	帮人
bangshou	榜首	帮手
bangta	帮他	帮她
bangtamen	帮他们
bangwan	傍晚
bangwo	帮我
bangwomen	帮我们
bangyang	榜样
bangzhe	帮着
bangzhu	帮助	帮主
bangzhudajia	帮助大家
bangzhuni	帮助你
bangzhuta	帮助他
bangzhutamen	帮助他们
bangzi	棒子
banhao	办好
bani	把你
banian	八年
banji	班级
banjia	搬家	半价
banjiagongsi	搬家公司
banjiang	颁奖
banjiangdianli	颁奖典礼
banjing	半径
banjuesai	半决赛
bankong	半空
bankuai	板块	版块
banle	办了
banli	办理	班里
banlu	半路
banlv	伴侣
banma	斑马
banmian	版面
bannian	半年
bannianduo	半年多
bannianhou	半年後
banqian	搬迁
banquan	版权
banquansuoyou	版权所有
banquanwenti	版权问题
banshang	班上	板上
banshi	办事
banshichu	办事处
banshu	半数
bansui	伴随
bansuizhe	伴随着
bantian	半天
bantu	版图
banxiaoshi	半小时
banxue	办学
banyan	扮演
banyande	扮演的
banye	半夜
banyou	伴有
banyue	半月
banyun	搬运
banzhang	班长
banzhe	伴着
banzheng	办证
banzhu	版主	斑竹
banzhuan	搬砖
banzhuren	班主任
banzi	板子	班子
banzou	伴奏	搬走
bao	包	报	宝	抱	保	爆	饱	鲍
baoan	保安	报案	宝安
baoban	报班
baobao	宝宝	包包	抱抱
baobaode	宝宝的
baobei	宝贝
baobeier	宝贝儿
baoben	保本
baobiao	报表	爆表	保镖
baobo	鲍勃
baocang	爆仓
baochi	保持
baochile	保持了
baochiyizhi	保持一致
baochizai	保持在
baochizhe	保持着
baochou	报酬	报仇
baochu	爆出
baocun	保存
baocuo	报错
baoda	报答	暴打
